date	AAPL	SPY	TSLA	SPOT	GOOG	NVDA
2023-09-01	169.54928588867188	416.39691162109375	250.22000122070312	154.63999938964844	131.07090759277344	43.47224807739258
2023-10-01	169.11354064941406	408.7943420410156	200.83999633789062	164.75999450683594	124.55960083007812	40.75827407836914
2023-11-01	188.1074981689453	446.1352233886719	240.0800018310547	185.11000061035156	133.12864685058594	46.745086669921875
2023-12-01	190.91368103027344	464.61993408203125	248.47999572753906	187.91000366210938	140.09722900390625	49.49562454223633
2024-01-01	182.85189819335938	473.93341064453125	187.2899932861328	215.35000610351562	140.96209716796875	61.4996337890625
2024-02-01	179.23255920410156	498.6665344238281	201.8800048828125	256.4100036621094	138.9540252685547	79.07681274414062
2024-03-01	170.25735473632812	513.3788452148438	175.7899932861328	263.8999938964844	151.36029052734375	90.31581115722656
2024-04-01	169.1155548095703	494.2103271484375	183.27999877929688	280.44000244140625	163.66712951660156	86.36762237548828
2024-05-01	190.87925720214844	519.2073974609375	178.0800018310547	296.7799987792969	172.93206787109375	109.5893783569336
2024-06-01	209.40191650390625	535.7965087890625	197.8800048828125	313.7900085449219	182.33615112304688	123.49083709716797
2024-07-01	220.795654296875	544.0339965820312	232.07000732421875	343.94000244140625	172.32272338867188	116.98303985595703
2024-08-01	227.67564392089844	556.74560546875	214.11000061035156	342.8800048828125	164.32113647460938	119.33230590820312
2024-09-01	231.920654296875	566.70166015625	261.6300048828125	368.5299987792969	166.39122009277344	121.40164947509766
2024-10-01	224.8634796142578	563.3673706054688	249.85000610351562	385.1000061035156	172.09115600585938	132.72943115234375
2024-11-01	236.23057556152344	596.9629516601562	345.1600036621094	476.9599914550781	169.8988037109375	138.21817016601562
2024-12-01	249.5341796875	580.6456298828125	403.8399963378906	447.3800048828125	189.77960205078125	134.2590789794922
2025-01-01	235.16519165039062	598.2464599609375	404.6000061035156	548.5499877929688	205.11947631835938	120.05062103271484
2025-02-01	240.98452758789062	590.6517944335938	292.9800109863281	608.010009765625	171.8175048828125	124.89983367919922
2025-03-01	221.58761596679688	556.068359375	259.1600036621094	550.030029296875	155.8648681640625	108.36251068115234
2025-04-01	211.9811248779297	552.9054565429688	282.1600036621094	613.97998046875	160.69683837890625	108.91243743896484
2025-05-01	200.3595733642578	587.6527709960938	346.4599914550781	665.1400146484375	172.64248657226562	135.12062072753906
2025-06-01	204.93740844726562	616.02880859375	317.6600036621094	767.3400268554688	177.17703247070312	157.97903442382812
2025-07-01	207.33470153808594	632.0800170898438	308.2699890136719	626.5399780273438	192.86000061035156	177.8699951171875
2025-08-01	231.87684631347656	645.0499877929688	333.8699951171875	681.8800048828125	213.52999877929688	174.17999267578125
